playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam
Christian Keller,Defensive Midfield,Retired,free transfer,37,1
Gaby Mudingayi,Defensive Midfield,Retired,-,36,0
Roberto Baronio,Defensive Midfield,Retired,-,36,4
Ousmane Dabo,Defensive Midfield,Retired,-,34,0
Fabio Liverani,Defensive Midfield,Retired,free transfer,35,0
Lorenzo De Silvestri,Right-Back,Bologna,€3.50m,32,4
Manuel Belleri,Right-Back,Retired,-,37,3
Massimo Oddo,Right-Back,Retired,End of loan,36,0
Guilherme Siqueira,Left-Back,Retired,-,32,1
Marco Angeletti,Left-Back,Unknown,free transfer,31,1
Claudio Castroni,Centre-Back,Unknown,?,21,1
Cristiano Gimelli,Centre-Back,Alitalia Calcio,?,32,8
Felice Piccolo,Centre-Back,Retired,free transfer,35,2
Matías Lequi,Centre-Back,Retired,?,36,1
Cribari,Centre-Back,Retired,free transfer,34,2
Alessio De Angelis,Goalkeeper,Ladispoli,free transfer,37,1
Marco Ballotta,Goalkeeper,Castelvetro,-,56,5
Angelo Peruzzi,Goalkeeper,Retired,€17.90m,37,7
Federico Gerardi,Centre-Forward,Picerno,free transfer,33,0
Ferdinando Sforzini,Centre-Forward,Without Club,free transfer,36,1
Fausto Rossini,Centre-Forward,Retired,free transfer,33,1
Antonio Di Natale,Centre-Forward,Retired,€100Th.,39,12
David Di Michele,Centre-Forward,Retired,free transfer,39,0
Vincenzo Iaquinta,Centre-Forward,Retired,End of loan,34,1
Simone Pepe,Right Winger,Retired,free transfer,34,1
Roman Eremenko,Attacking Midfield,Helsinki IFK,-,35,1
Giampiero Pinzi,Central Midfield,Retired,-,38,0
Sulley Muntari,Central Midfield,Without Club,-,38,0
Michele Pazienza,Defensive Midfield,Retired,-,35,1
Juarez,Right-Back,Retired,free transfer,33,1
Valerio Bertotto,Right-Back,Retired,-,36,0
Damiano Zenoni,Right-Back,Retired,free transfer,37,3
Vincent Candela,Left-Back,Retired,free transfer,34,0
Emanuele Politti,Centre-Back,Mestre,free transfer,34,1
Cristián Zapata,Centre-Back,San Lorenzo,free transfer,35,2
Felipe,Centre-Back,Torviscosa,-,38,1
Marco Murriero,Goalkeeper,Nibbiano,free transfer,39,3
Morgan De Sanctis,Goalkeeper,Retired,free transfer,40,1
Denis Godeas,Centre-Forward,Retired,End of loan,46,1
Andrea Caracciolo,Centre-Forward,Retired,free transfer,41,2
Pietro Tripoli,Second Striker,Stresa Vergante,free transfer,35,1
Giuseppe Polito,Second Striker,Sp.Vallone,free transfer,31,1
Franco Brienza,Attacking Midfield,Retired,-,40,1
Mirko Velardi,Central Midfield,Without Club,free transfer,34,1
Giovanni Tedesco,Central Midfield,Retired,?,38,4
Paul Codrea,Central Midfield,Retired,free transfer,32,0
Mariano González,midfield,Retired,?,41,3
Pietro Accardi,Left-Back,Retired,-,32,2
Cristian Zaccardo,Centre-Back,Retired,-,37,0
Andrea Barzagli,Centre-Back,Retired,€300Th.,38,8
Giuseppe Ingrassia,Goalkeeper,Monreale,free transfer,32,1
Salvatore Sirigu,Goalkeeper,SSC Napoli,free transfer,35,1
Nicola Santoni,Goalkeeper,Retired,?,30,1
Federico Agliardi,Goalkeeper,Retired,free transfer,38,1
Mariano Andújar,Goalkeeper,Estudiantes,End of loan,33,0
Samuel Di Carmine,Centre-Forward,Perugia,free transfer,34,1
Guly,Attacking Midfield,Retired,?,38,1
Luis Jiménez,Attacking Midfield,Magallanes,-,38,2
Stefano Fiore,Attacking Midfield,Retired,-,36,2
Andrea De Falco,Central Midfield,Tre Fiori,-,36,1
Cristian Brocchi,Central Midfield,Retired,€2.00m,37,5
Martin Jörgensen,Central Midfield,Retired,free transfer,40,5
Andrea Paolucci,Defensive Midfield,Virtus Entella,free transfer,32,1
Luis Helguera,Defensive Midfield,Retired,free transfer,37,5
Riccardo Montolivo,Defensive Midfield,Retired,free transfer,34,7
Marco Donadel,Defensive Midfield,Retired,-,35,3
Giuseppe Pancaro,Right-Back,Retired,?,36,1
Manuel Pasqual,Left-Back,Retired,-,38,1
Danilo D'Ambrosio,Centre-Back,Inter,?,26,4
Antonio Aquilanti,Centre-Back,Fossacesia,-,37,1
Michele Bacis,Centre-Back,Retired,-,32,0
Alessandro Gamberini,Centre-Back,Retired,€300Th.,37,4
Per Kröldrup,Centre-Back,Retired,-,35,1
Nicolò Manfredini,Goalkeeper,Benevento,free transfer,31,2
Sébastien Frey,Goalkeeper,Retired,?,35,2
Stefano Okaka,Centre-Forward,Basaksehir,?,32,2
Shabani Nonda,Centre-Forward,Retired,€1.30m,33,3
Vincenzo Montella,Centre-Forward,Retired,End of loan,35,1
Francesco Totti,Second Striker,Retired,-,41,24
Rodrigo Taddei,Right Winger,Retired,free transfer,36,2
Mancini,Left Winger,Retired,free transfer,36,0
Simone Perrotta,Attacking Midfield,Retired,€7.20m,36,9
Édgar Álvarez,Right Midfield,Retired,-,39,6
Leandro Greco,Central Midfield,Retired,free transfer,35,1
Houssine Kharja,Central Midfield,Retired,-,34,1
Alberto Aquilani,Central Midfield,Retired,-,35,1
Massimiliano Marsili,Defensive Midfield,Casarano,free transfer,35,2
Damiano Tommasi,Defensive Midfield,Retired,free transfer,45,0
Olivier Dacourt,Defensive Midfield,Retired,-,36,1
Daniele De Rossi,Defensive Midfield,Retired,free transfer,37,1
Gianluca Galasso,Right-Back,Gaeta,free transfer,36,2
Luigi Sartor,Right-Back,Retired,?,34,2
Aleandro Rosi,Right-Back,Perugia,-,32,1
Christian Panucci,Right-Back,Retired,-,37,0
Fabrizio Grillo,Left-Back,Retired,free transfer,31,1
Andrea Briotti,Left-Back,Astrea,?,25,0
Leandro Cufré,Left-Back,Retired,End of loan,37,0
Gianluca Freddi,Centre-Back,Retired,free transfer,30,0
Cristian Chivu,Centre-Back,Retired,€16.00m,34,7
